0,tcp,ftp_data,SF,491,0,0,0,0,0,0,0,2,2,150,25,0.17,0.03,normal,2
0,udp,other,SF,146,0,0,0,0,0,0,0,13,1,255,1,0.00,0.60,normal,2
0,tcp,private,S0,0,0,0,0,0,0,0,0,123,6,255,26,0.10,0.05,neptune,1
0,tcp,http,SF,232,8153,0,0,0,0,0,1,5,5,30,255,1.00,0.00,normal,2
0,tcp,http,SF,199,420,0,0,0,0,0,1,30,32,255,255,1.00,0.00,normal,2
0,tcp,private,REJ,0,0,0,0,0,0,0,0,121,19,255,19,0.07,0.07,neptune,1
0,tcp,private,S0,0,0,0,0,0,0,0,0,166,9,255,9,0.04,0.05,neptune,1
0,tcp,private,S0,0,0,0,0,0,0,0,0,117,16,255,15,0.06,0.07,neptune,1
0,tcp,remote_job,S0,0,0,0,0,0,0,0,0,270,23,255,23,0.09,0.05,neptune,1
0,tcp,private,S0,0,0,0,0,0,0,0,0,133,8,255,13,0.05,0.06,neptune,1
0,tcp,private,REJ,0,0,0,0,0,0,0,0,205,12,255,12,0.05,0.07,neptune,1
0,tcp,private,S0,0,0,0,0,0,0,0,0,199,3,255,13,0.05,0.07,neptune,1
0,tcp,http,SF,287,2251,0,0,0,0,0,1,3,7,8,219,1.00,0.00,normal,2
0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,2,2,2,20,1.00,0.00,warezclient,2
0,tcp,name,S0,0,0,0,0,0,0,0,0,233,1,255,1,0.00,0.07,neptune,1
0,tcp,netbios_ns,S0,0,0,0,0,0,0,0,0,96,16,255,2,0.01,0.06,neptune,1
0,tcp,http,SF,300,13788,0,0,0,0,0,1,8,9,91,255,1.00,0.00,normal,2
0,icmp,eco_i,SF,18,0,0,0,0,0,0,0,1,1,1,16,1.00,0.00,ipsweep,2
0,tcp,http,SF,233,616,0,0,0,0,0,1,3,3,66,255,1.00,0.00,normal,2
0,tcp,http,SF,343,1178,0,0,0,0,0,1,9,10,157,255,1.00,0.00,normal,2
0,tcp,mtp,S0,0,0,0,0,0,0,0,0,223,23,255,23,0.09,0.05,neptune,1
0,tcp,private,S0,0,0,0,0,0,0,0,0,280,17,238,17,0.07,0.06,neptune,1
0,tcp,http,SF,253,11905,0,0,0,0,0,1,8,10,87,255,1.00,0.00,normal,2
5607,udp,other,SF,147,105,0,0,0,0,0,0,1,1,255,1,0.00,0.85,normal,2
0,tcp,mtp,S0,0,0,0,0,0,0,0,0,248,2,255,2,0.01,0.06,neptune,1
507,tcp,telnet,SF,437,14421,0,0,0,0,0,1,1,1,255,25,0.10,0.05,normal,2
0,tcp,private,S0,0,0,0,0,0,0,0,0,279,7,255,13,0.05,0.07,neptune,1
0,tcp,http,SF,227,6588,0,0,0,0,0,1,5,22,43,255,1.00,0.00,normal,2
0,tcp,http,SF,215,10499,0,0,0,0,0,1,14,14,255,255,1.00,0.00,normal,2
0,tcp,http,SF,241,1400,0,0,0,0,0,1,33,33,255,255,1.00,0.00,normal,2
0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,1,12,1,53,1.00,0.00,ipsweep,2
0,tcp,finger,S0,0,0,0,0,0,0,0,0,57,16,255,59,0.23,0.04,neptune,1
0,tcp,http,SF,303,555,0,0,0,0,0,1,9,9,9,255,1.00,0.00,normal,2
0,tcp,private,REJ,0,0,0,0,0,0,0,0,2,1,255,1,0.00,0.31,portsweep,2
0,udp,domain_u,SF,45,45,0,0,0,0,0,0,181,181,255,250,0.98,0.01,normal,2
1,udp,private,SF,105,147,0,0,0,0,0,0,2,2,41,5,0.12,0.05,normal,2
0,udp,domain_u,SF,43,43,0,0,0,0,0,0,122,202,255,255,1.00,0.00,normal,2
0,tcp,supdup,S0,0,0,0,0,0,0,0,0,205,17,255,17,0.07,0.07,neptune,1
0,tcp,http,SF,324,2302,0,0,0,0,0,1,22,28,255,255,1.00,0.00,normal,2
0,tcp,uucp_path,S0,0,0,0,0,0,0,0,0,228,13,255,13,0.05,0.07,neptune,1
0,tcp,ftp_data,S0,0,0,0,0,0,0,0,0,50,11,255,63,0.25,0.02,neptune,1
0,tcp,Z39_50,S0,0,0,0,0,0,0,0,0,262,12,255,9,0.04,0.07,neptune,1
2,tcp,smtp,SF,1591,372,0,0,0,0,0,1,1,2,181,147,0.81,0.02,normal,2
9052,udp,other,SF,146,105,0,0,0,0,0,0,4,2,255,2,0.01,0.66,normal,2
0,tcp,http,SF,290,3006,0,0,0,0,0,1,11,11,255,255,1.00,0.00,normal,2
0,tcp,csnet_ns,S0,0,0,0,0,0,0,0,0,108,11,255,11,0.04,0.07,neptune,1
